"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","5","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","0","26","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","11","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","5","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","67","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","45","1","0.000000","0","0"
"/Game/Showcase/Materials/Instance/MM_Wall_Trim_01a.MM_Wall_Trim_01a","0","0","23","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","7","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","62","6","0.000000","0","5"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/Game/Showcase/Materials/Masters/MM_Rubber_01a.MM_Rubber_01a","0","0","92","2","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","87","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","127","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","685","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","31","1","0.000000","0","0"
"/Game/Showcase/Materials/Masters/MM_Emissive.MM_Emissive","0","0","46","2","0.000000","0","0"
"/Game/Showcase/Materials/Masters/M_Surface_Basic.M_Surface_Basic","0","0","92","4","0.000000","0","897"
"/Game/Showcase/Materials/Masters/MM_Panels_01a.MM_Panels_01a","0","0","23","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","45","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","11","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","7","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","50","2","0.000000","0","0"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","35","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","11","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","5","1","0.000000","0","0"
"/Game/Showcase/Materials/Masters/MM_MaterialLayer_01a.MM_MaterialLayer_01a","0","429","663","17","510.622040","0","400"
"/Game/Showcase/Materials/Masters/MM_Glass_01a.MM_Glass_01a","0","0","68","2","0.000000","0","70"
"/Game/Showcase/Materials/Masters/MM_Car_Plastic_01a.MM_Car_Plastic_01a","0","0","66","2","0.000000","0","33"
"/Game/Showcase/EpicContent/Materials/MM_Lightbeam_01a.MM_Lightbeam_01a","0","0","14","2","0.000000","0","0"
"/Engine/EngineVolumetrics/LightBeam/Materials/M_EV_Lightbeam_Master_01.M_EV_Lightbeam_Master_01","0","0","7","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/NewFolder/ct2f_2023-10-12_233653_041_Mat1.ct2f_2023-10-12_233653_041_Mat1","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/NewFolder/cpm35_2024-07-21_174907_985_Mat.cpm35_2024-07-21_174907_985_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/NewFolder/IMG_418784_Mat.IMG_418784_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/IMG_26873_Mat.IMG_26873_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/NewFolder/IMG_276457_Mat.IMG_276457_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/NewFolder/dclassic_2023-12-27_113636_621_Mat.dclassic_2023-12-27_113636_621_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/NewFolder/IMG_2333421_Mat.IMG_2333421_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/IMG_t1324_Mat.IMG_t1324_Mat","0","0","23","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/IMG_652143_Mat.IMG_652143_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/NewFolder/lp_im65age_1__Mat.lp_im65age_1__Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/IMG_165579_Mat.IMG_165579_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/NewFolder/IMG_426563_Mat.IMG_426563_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/NewFolder/dhalf_2024-07-21_174943_391_Mat.dhalf_2024-07-21_174943_391_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/IMG_414548__1__Mat.IMG_414548__1__Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/FullSizeRender_Mat.FullSizeRender_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/IMG_40033_Mat.IMG_40033_Mat","0","0","23","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/IMG_08936_Mat.IMG_08936_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/ct2f_2023-10-12_233652_434_Mat.ct2f_2023-10-12_233652_434_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/IMG_3945483_Mat.IMG_3945483_Mat","0","0","14","1","0.000000","0","0"
"/Engine/MaterialTemplates/1Year_Assets/NewFolder/IMG_426559_Mat.IMG_426559_Mat","0","0","14","1","0.000000","0","0"
